element_index,min,max,mean,relative_range,curvature_q3_p10,curvature_q3_p50,curvature_q3_p90
8.920000000000000000e+02,8.175021254583361952e+01,1.290634157878780286e+02,9.292662238189761581e+01,5.091458403341383443e-01,4.015379739847070237e-03,3.135249976361865164e-03,2.621433341697453154e-03
4.560000000000000000e+02,9.915113395206658709e+01,1.695786844862550993e+02,1.419733447704352329e+02,4.960617829217647823e-01,1.943855999391420506e-03,1.664318102834635472e-03,1.300594659545217455e-03
1.330000000000000000e+02,1.220614974069517018e+02,1.664169560765772928e+02,1.372636785145461999e+02,3.231405361537438847e-01,2.636943652374655698e-03,2.240896456119515455e-03,1.998553489463571805e-03
7.010000000000000000e+02,9.667572961419521604e+00,8.362392661310133235e+01,5.414375728534395193e+01,1.365925775374678075e+00,3.898781405806631389e-03,3.425730141375658237e-03,3.002823941034804284e-03
1.820000000000000000e+02,9.900719983728738782e+01,1.390413245758066978e+02,1.221892357132955311e+02,3.276403564095880516e-01,2.924468649041873144e-03,2.461387116014216673e-03,2.126356630508818586e-03
9.420000000000000000e+02,4.634770729084441143e+01,9.542092858396974009e+01,7.913849504462741891e+01,6.200929303173150497e-01,3.468905592836930580e-03,3.667008476539180759e-03,3.830242214936212686e-03
6.480000000000000000e+02,8.686078156089953950e+01,1.090931625581276734e+02,1.007460701679621451e+02,2.206774017106839514e-01,1.124977355061781937e-03,1.110287239899771222e-03,1.733939823347698276e-03
8.260000000000000000e+02,6.538849709588129144e+01,1.447802911564571389e+02,8.051973203756219277e+01,9.859917817851137078e-01,4.637421696396865599e-03,5.016792850772359633e-03,6.298714964070719485e-03
9.770000000000000000e+02,3.096382029574773398e+01,9.597134064048950108e+01,7.935621692949150940e+01,8.191862321574798766e-01,4.182840605306228053e-03,4.097217315942604764e-03,4.629978349293596522e-03
1.160000000000000000e+02,9.098180468804143572e+01,1.251447218488867463e+02,1.017428471548379889e+02,3.357770901462415192e-01,1.838086133666167604e-03,1.505032324860571067e-03,1.291423690209748173e-03
