trial,status,error,trial_seed,hidden_layers,activation,dropout,use_batchnorm,loss,smoothl1_beta,lr,weight_decay,batch_size,patience,lr_patience,lr_factor,grad_clip_norm,best_val_scaled_mse,best_epoch,epochs_ran,last_val_scaled_mse,last_train_scaled_mse
trial_01,ok,,1001,"128,256,256,128",gelu,0.02,1,mse,1.0,0.0002,0.0,3072,100,20,0.6,2.0,0.0003617202169710262,80,180,0.0004999278351032714,0.002933948532262356
trial_02,ok,,1002,"128,192,192,128",relu,0.03,1,smoothl1,1.0,0.0002,1e-05,2048,100,20,0.7,2.0,0.0004676032191932524,42,142,0.0007256749624234301,0.0022858931349061125
trial_03,ok,,1003,"128,256,256,128",gelu,0.02,1,smoothl1,0.5,0.001,0.0,2048,160,20,0.7,2.0,0.00011495138633661956,355,515,0.0003181840268488417,0.0015074636580971856
trial_04,ok,,1004,"128,192,192,128",elu,0.05,0,mse,1.0,0.0008,0.0,4096,120,45,0.6,2.0,4.83283323999901e-05,1246,1366,4.896260663598899e-05,0.0026304304927020966
trial_05,ok,,1005,"128,128,128",silu,0.02,1,smoothl1,0.3,0.0006,0.0,3072,140,45,0.6,0.5,8.63651042729908e-05,571,711,0.00016182621690038291,0.002885709725498674
trial_06,ok,,1006,"128,128,128",relu,0.02,1,smoothl1,0.5,0.0008,5e-05,1024,120,20,0.6,0.5,0.00012958652780756453,228,348,0.00025090277657989875,0.002071370292938761
trial_07,ok,,1007,"96,96,96,96",gelu,0.05,0,mse,1.0,0.0008,0.0,4096,140,35,0.4,0.5,9.953542047698988e-05,464,604,0.00010590209261605583,0.004027101215541812
trial_08,ok,,1008,"128,128,128,128",relu,0.08,1,smoothl1,1.0,0.0002,1e-06,1536,140,35,0.4,2.0,0.0009897133950113423,40,180,0.0018594943560597264,0.004886855703433523
trial_09,ok,,1009,"128,256,256,128",elu,0.05,0,mse,1.0,0.0004,5e-05,2048,140,25,0.7,1.0,4.383575641275305e-05,904,1044,4.428457081711817e-05,0.002625900201587306
trial_10,ok,,1010,"64,128,128,64",gelu,0.0,1,mse,1.0,0.001,0.0,2048,140,35,0.5,2.0,2.824397005983043e-05,341,481,8.33045291726835e-05,0.0005673849482043072
trial_11,ok,,1011,"128,256,256,128",gelu,0.03,0,smoothl1,0.3,0.0006,0.0,2048,140,25,0.6,0.0,3.0105446667070038e-05,531,671,3.209047584359462e-05,0.0024792091280350812
trial_12,ok,,1012,"128,128,128,128",relu,0.01,1,mse,1.0,0.0008,0.0001,4096,80,25,0.7,0.0,0.00019023399915350146,169,249,0.0003841666625835622,0.0017118195358755384
trial_13,ok,,1013,"256,256,128",silu,0.02,0,smoothl1,0.5,0.0012,1e-05,2048,140,45,0.6,0.5,6.780448233207444e-06,954,1094,7.163819071127642e-06,0.000832539513090836
trial_14,ok,,1014,"128,128,128,128",relu,0.01,1,mse,1.0,0.0008,0.0,1024,80,35,0.6,1.0,9.589333099048429e-05,285,365,0.0001687901213167391,0.00119992870984493
trial_15,ok,,1015,"128,192,192,128",elu,0.08,0,mse,1.0,0.0002,0.0,2048,140,30,0.5,0.0,8.950097368674555e-05,697,837,9.028566804335327e-05,0.004344293617472852
trial_16,ok,,1016,"96,96,96,96",silu,0.05,0,mse,1.0,0.0006,1e-06,4096,80,25,0.4,0.5,0.00015116714451980358,419,499,0.00016203331273321724,0.004464034354924351
trial_17,ok,,1017,"256,256,128",silu,0.05,1,smoothl1,0.5,0.001,5e-05,4096,100,35,0.5,1.0,8.208648022300402e-05,477,577,0.0001792380134745023,0.0027552361894848695
trial_18,ok,,1018,"128,192,192,128",silu,0.0,1,smoothl1,0.5,0.0008,0.0001,1024,120,35,0.4,1.0,3.6945584509522787e-05,304,424,6.746028207785151e-05,0.0008949097696117193
trial_19,ok,,1019,"128,256,256,128",gelu,0.03,1,mse,1.0,0.0008,0.0001,1024,140,30,0.6,1.0,0.00025067346820964453,296,436,0.0004319241396824918,0.0017860464891947276
trial_20,ok,,1020,"128,128,128",gelu,0.0,0,mse,1.0,0.0012,5e-05,3072,80,35,0.5,2.0,3.5087393728538923e-07,2487,2500,3.529274076041197e-07,3.599931283051508e-07
